customer_id,week_ending,logins
C001,2026-08-28,29
C001,2026-09-04,32
C001,2026-09-11,28
C001,2026-09-18,30
C002,2026-08-28,28
C002,2026-09-04,25
C002,2026-09-11,27
C002,2026-09-18,25
C003,2026-08-28,9
C003,2026-09-04,9
C003,2026-09-11,7
C003,2026-09-18,9
C004,2026-08-28,13
C004,2026-09-04,12
C004,2026-09-11,14
C004,2026-09-18,16
C005,2026-08-28,23
C005,2026-09-04,20
C005,2026-09-11,5
C005,2026-09-18,5
C006,2026-08-28,14
C006,2026-09-04,11
C006,2026-09-11,12
C006,2026-09-18,13
C007,2026-08-28,20
C007,2026-09-04,21
C007,2026-09-11,20
C007,2026-09-18,19
C008,2026-08-28,18
C008,2026-09-04,21
C008,2026-09-11,19
C008,2026-09-18,19
C009,2026-08-28,22
C009,2026-09-04,22
C009,2026-09-11,21
C009,2026-09-18,21
C010,2026-08-28,7
C010,2026-09-04,9
C010,2026-09-11,8
C010,2026-09-18,8
C011,2026-08-28,10
C011,2026-09-04,10
C011,2026-09-11,12
C011,2026-09-18,11
C012,2026-08-28,31
C012,2026-09-04,29
C012,2026-09-11,6
C012,2026-09-18,6
C013,2026-08-28,15
C013,2026-09-04,18
C013,2026-09-11,16
C013,2026-09-18,14
C014,2026-08-28,13
C014,2026-09-04,12
C014,2026-09-11,11
C014,2026-09-18,11
C015,2026-08-28,23
C015,2026-09-04,23
C015,2026-09-11,19
C015,2026-09-18,22
C016,2026-08-28,25
C016,2026-09-04,26
C016,2026-09-11,24
C016,2026-09-18,27
C017,2026-08-28,10
C017,2026-09-04,10
C017,2026-09-11,7
C017,2026-09-18,8
C018,2026-08-28,19
C018,2026-09-04,21
C018,2026-09-11,8
C018,2026-09-18,6
C019,2026-08-28,27
C019,2026-09-04,29
C019,2026-09-11,31
C019,2026-09-18,29
C020,2026-08-28,30
C020,2026-09-04,29
C020,2026-09-11,30
C020,2026-09-18,29
C021,2026-08-28,24
C021,2026-09-04,24
C021,2026-09-11,26
C021,2026-09-18,26
C022,2026-08-28,28
C022,2026-09-04,31
C022,2026-09-11,31
C022,2026-09-18,29
C023,2026-08-28,22
C023,2026-09-04,18
C023,2026-09-11,20
C023,2026-09-18,20
C024,2026-08-28,15
C024,2026-09-04,16
C024,2026-09-11,16
C024,2026-09-18,14
C025,2026-08-28,23
C025,2026-09-04,23
C025,2026-09-11,5
C025,2026-09-18,8
C026,2026-08-28,22
C026,2026-09-04,21
C026,2026-09-11,23
C026,2026-09-18,25
C027,2026-08-28,31
C027,2026-09-04,29
C027,2026-09-11,27
C027,2026-09-18,28
C028,2026-08-28,29
C028,2026-09-04,28
C028,2026-09-11,28
C028,2026-09-18,28
C029,2026-08-28,6
C029,2026-09-04,7
C029,2026-09-11,9
C029,2026-09-18,10
C030,2026-08-28,11
C030,2026-09-04,11
C030,2026-09-11,12
C030,2026-09-18,9
C031,2026-08-28,31
C031,2026-09-04,31
C031,2026-09-11,10
C031,2026-09-18,8
C032,2026-08-28,10
C032,2026-09-04,10
C032,2026-09-11,13
C032,2026-09-18,11
C033,2026-08-28,15
C033,2026-09-04,14
C033,2026-09-11,11
C033,2026-09-18,15
C034,2026-08-28,13
C034,2026-09-04,16
C034,2026-09-11,14
C034,2026-09-18,16
C035,2026-08-28,31
C035,2026-09-04,31
C035,2026-09-11,31
C035,2026-09-18,29
C036,2026-08-28,24
C036,2026-09-04,24
C036,2026-09-11,7
C036,2026-09-18,8
C037,2026-08-28,21
C037,2026-09-04,23
C037,2026-09-11,23
C037,2026-09-18,22
C038,2026-08-28,15
C038,2026-09-04,17
C038,2026-09-11,16
C038,2026-09-18,14
C039,2026-08-28,17
C039,2026-09-04,14
C039,2026-09-11,16
C039,2026-09-18,15
C040,2026-08-28,16
C040,2026-09-04,16
C040,2026-09-11,18
C040,2026-09-18,14
