attempt_id,customer_id,amount,attempted_at,status,failure_cause
P0001,C001,149,2026-08-19T00:00,succeeded,
P0002,C001,149,2026-09-18T00:00,succeeded,
P0003,C002,399,2026-08-19T00:00,succeeded,
P0004,C002,399,2026-09-18T00:00,succeeded,
P0005,C003,149,2026-08-19T00:00,succeeded,
P0006,C003,149,2026-09-18T00:00,failed,insufficient_funds
P0007,C004,149,2026-08-19T00:00,succeeded,
P0008,C004,149,2026-09-18T00:00,succeeded,
P0009,C005,49,2026-08-19T00:00,succeeded,
P0010,C005,49,2026-09-18T00:00,succeeded,
P0011,C006,149,2026-08-19T00:00,succeeded,
P0012,C006,149,2026-09-18T00:00,succeeded,
P0013,C007,149,2026-08-19T00:00,succeeded,
P0014,C007,149,2026-09-18T00:00,failed,card_expired
P0015,C008,149,2026-08-19T00:00,succeeded,
P0016,C008,149,2026-09-18T00:00,succeeded,
P0017,C009,899,2026-08-19T00:00,succeeded,
P0018,C009,899,2026-09-18T00:00,succeeded,
P0019,C010,149,2026-08-19T00:00,succeeded,
P0020,C010,149,2026-09-18T00:00,succeeded,
P0021,C011,899,2026-08-19T00:00,succeeded,
P0022,C011,899,2026-09-18T00:00,failed,insufficient_funds
P0023,C012,149,2026-08-19T00:00,succeeded,
P0024,C012,149,2026-09-18T00:00,succeeded,
P0025,C013,399,2026-08-19T00:00,succeeded,
P0026,C013,399,2026-09-18T00:00,succeeded,
P0027,C014,49,2026-08-19T00:00,succeeded,
P0028,C014,49,2026-09-18T00:00,succeeded,
P0029,C015,49,2026-08-19T00:00,succeeded,
P0030,C015,49,2026-09-18T00:00,failed,card_changed
P0031,C016,899,2026-08-19T00:00,succeeded,
P0032,C016,899,2026-09-18T00:00,succeeded,
P0033,C017,399,2026-08-19T00:00,succeeded,
P0034,C017,399,2026-09-18T00:00,succeeded,
P0035,C018,149,2026-08-19T00:00,succeeded,
P0036,C018,149,2026-09-18T00:00,succeeded,
P0037,C019,149,2026-08-19T00:00,succeeded,
P0038,C019,149,2026-09-18T00:00,failed,unknown
P0039,C020,49,2026-08-19T00:00,succeeded,
P0040,C020,49,2026-09-18T00:00,succeeded,
P0041,C021,399,2026-08-19T00:00,succeeded,
P0042,C021,399,2026-09-18T00:00,succeeded,
P0043,C022,149,2026-08-19T00:00,succeeded,
P0044,C022,149,2026-09-18T00:00,failed,card_expired
P0045,C023,899,2026-08-19T00:00,succeeded,
P0046,C023,899,2026-09-18T00:00,succeeded,
P0047,C024,49,2026-08-19T00:00,succeeded,
P0048,C024,49,2026-09-18T00:00,succeeded,
P0049,C025,899,2026-08-19T00:00,succeeded,
P0050,C025,899,2026-09-18T00:00,succeeded,
P0051,C026,399,2026-08-19T00:00,succeeded,
P0052,C026,399,2026-09-18T00:00,succeeded,
P0053,C027,49,2026-08-19T00:00,succeeded,
P0054,C027,49,2026-09-18T00:00,succeeded,
P0055,C028,399,2026-08-19T00:00,succeeded,
P0056,C028,399,2026-09-18T00:00,failed,insufficient_funds
P0057,C029,899,2026-08-19T00:00,succeeded,
P0058,C029,899,2026-09-18T00:00,succeeded,
P0059,C030,49,2026-08-19T00:00,succeeded,
P0060,C030,49,2026-09-18T00:00,succeeded,
P0061,C031,399,2026-08-19T00:00,succeeded,
P0062,C031,399,2026-09-18T00:00,succeeded,
P0063,C032,149,2026-08-19T00:00,succeeded,
P0064,C032,149,2026-09-18T00:00,succeeded,
P0065,C033,49,2026-08-19T00:00,succeeded,
P0066,C033,49,2026-09-18T00:00,failed,card_changed
P0067,C034,149,2026-08-19T00:00,succeeded,
P0068,C034,149,2026-09-18T00:00,succeeded,
P0069,C035,49,2026-08-19T00:00,succeeded,
P0070,C035,49,2026-09-18T00:00,succeeded,
P0071,C036,899,2026-08-19T00:00,succeeded,
P0072,C036,899,2026-09-18T00:00,succeeded,
P0073,C037,49,2026-08-19T00:00,succeeded,
P0074,C037,49,2026-09-18T00:00,succeeded,
P0075,C038,899,2026-08-19T00:00,succeeded,
P0076,C038,899,2026-09-18T00:00,succeeded,
P0077,C039,49,2026-08-19T00:00,succeeded,
P0078,C039,49,2026-09-18T00:00,failed,card_expired
P0079,C040,399,2026-08-19T00:00,succeeded,
P0080,C040,399,2026-09-18T00:00,succeeded,
P0081,C039,49,2026-08-29T00:00,failed,card_expired
P0082,C039,49,2026-09-08T00:00,failed,card_expired
